,,,,,MORPHOLOGY,,PASSIVE PROPERTIES (Figure 2),,,,,,,,ACTION POTENTIAL PROPERTIES (Figure 4),,,,,,,,,,,,,,,,,REPETITIVE FIRING PROPERTIES (Figure 5),,,,,,,,,,,,,VSAG (Figure 3),,,,,,,,,
Date,Age,Cell Type,Cell ID,,DIC image (Y/N),Soma area (px2),File Name ,Time ,RMP (mV),Ih(pA),Rs (M𝞨),Ri  (M𝞨),Cm (pF),,File Name ,Time/Timing,Onset rapidness,Step N# for 1st Spike ,Force (V),Ithresh (pA),Ithresh (pA/pF),RMP (mV),Vthresh(mV),Spike Height (mV),AHP Height (mV),AHP(V),AHP(mV),Peak Amplitude (mV),Half Height (mV),Spike Width (ms),,File Name ,Time ,Cm,Ith (pA),Rheobase (pA/pF),First AP Delay(s),First AP Delay(ms),Max No. Spikes,mean Interspike Intervals (ms) max spikes sweep ,ISI CV max spikes sweep,Max freq (Hz),Slope of I-O freq Curve until it rises,,File Name ,Time ,Ith(pA),Hold(mV),Peak (mV),Steady State(mV),Index ,Amplitude(mV),RB Firing (y/n),%cells with RB firing
200302,30,OBM,200302_OB_3,,,,m200302e,0,-45,-30,21.1461,421.1825,17.44,,m200302e,205,2.49,4,0.02,40,2.29357798165138,-59.0878,-39.3066,47.3785,36.590617,-0.75897217,-75.897217,86.6851,4.03595,0.75,,m200302e,300,17.44,20,1.14678899082569,0.01462,14.62,30,0.02,0.12,102.783,6.6295,,m200302f,160,60,-58.3896,-106.535,-101.159,0.888338,48.1454,1,
200302,30,OBM,200302_OB_5,,,,m200302k,0,-55,-5,20.7747,283.9515,22.84,,m200302k,120,2.58,6,0.03,60,2.62697022767075,-57.9227,-37.3077,53.0396,43.914834,-0.81222534,-81.222534,90.3473,7.86595,0.65,,m200302k,200,22.84,20,0.875656742556918,0.03446,34.46,32,0.02,0.17,88.5821,7.342,,m200302l,200,60,-60.2354,-101.697,-98.0213,0.911347,41.4616,0,
200304,33,OBM,200304_OB_2,,,,m200304c,0,-50,-11,21.1734,474.2113,24.85,,m200304c,85,3.1,11,0.055,110,4.42655935613682,-63.8202,-36.1786,42.2516,36.849964,-0.73028564,-73.028564,78.4302,3.0365,0.65,,m200304c,240,24.85,20,0.804828973843058,0.04833,48.33,27,0.02,0.18,80.7939,8.544,,m200304d,140,60,-58.2069,-107.209,-96.6265,0.78404,49.0021,1,
200320,22,OBM,200320_OB_5,,,,m200320u,0,-60,0,20.1031,477.6676,22.91,,m200320u,110,2.96,7,0.035,70,3.05543430816237,-58.6462,-36.2244,49.8657,48.355068,-0.84579468,-84.579468,86.0901,6.82065,0.6,,m200320u,205,22.91,20,0.872981230903536,0.10033,100.33,35,0.01,0.16,73.8498,6.3671,,m200320v,155,60,-60.273,-103.574,-99.7497,0.911681,43.301,1,40
191119,29,SN,191119_SN_3,,,,m191119m,0,-43,-100,7.8891,162.7011,59.49,,m191119m,125/161,22.7928,14,0.28,560,9.41334678097159,-60.5432,-36.3617,18.8293,19.989008,-0.56350708,-56.350708,55.191,-8.7662,0.75,,m191119m,215,59.49,80,1.34476382585308,0.10881,108.81,5,0.03,0.69,87.33624454,3.2483,,m191119n,160,140,-60.0349,-100.845,-77.3564,0.424441,40.8101,0,
191127,29,SN,191127_SN_2,,,,m191127e,15,-42,-100,10.1487,181.2389,49.04,,m191127e,165/184,18.7205,7,0.14,280,5.70962479608483,-60.5872,-42.7094,26.8707,28.030346,-0.70739746,-70.739746,69.5801,-7.91935,0.7,,m191127e,260,49.04,80,1.63132137030995,0.25223,252.23,5,0.09,0.65,40.7443,1.7584,,m191127f,170,100,-61.1667,-101.916,-81.4498,0.497753,40.7493,0,
191128,29,SN,191128_SN_1,,,,m191128a,20,-47,-60,7.8306,159.5326,65.46,,m191128a,140/162,14.7704,8,0.16,320,4.88848151542927,-60.4466,-42.5873,28.9154,21.469096,-0.64056396,-64.056396,71.5027,-6.83595,0.85,,m191128a,250,65.46,80,1.22212037885732,0.14042,140.42,8,0.06,0.76,35.69608517,1.703,,m191128b,150,80,-60.3292,-101.112,-78.5979,0.447951,40.7828,0,
191129,30,SN,191129_SN_3,,,,m191129j,10,-40,-106,9.1947,124.9733,70.93,,m191129j,160/209,10.8747,16,0.32,640,9.02298040321444,-59.4424,-34.1949,34.0881,20.645188,-0.54840088,-54.840088,68.283,-0.0534000000000034,0.75,,m191129j,280,70.93,120,1.69180882560271,0.15048,150.48,5,0.09,0.48,44.09819197,3.2829,,m191129k,170,160,-59.6262,-102.355,-82.0939,0.525821,42.7288,0,
191203,33,SN,191203_SN_1,,,,m191203a,15,-43,-45,9.6032,161.897234577644,54.37,,m191203a,110/138.5,12.8022,10,0.2,400,7.35699834467537,-57.3021,-37.4756,49.6521,15.899644,-0.53375244,-53.375244,87.1277,6.08825,1,,m191203a,195,54.37,80,1.47139966893507,0.24537,245.37,6,0.07,0.19,57.28032993,2.53,,m191203b,205,60,-59.4648,-106.528,-95.9712,0.775689,47.0632,0,
200219,30,SN,200219_SN_4,,,,m200219e,0,-47,-40,9.6405,127.0078,69.32,,m200219e,100/133,21.511,11,0.22,440,6.34737449509521,-59.1887,-35.1868,46.1273,31.890837,-0.67077637,-67.077637,81.3141,5.47025,0.65,,m200219e,325,69.32,80,1.15406809001731,0.23621,236.21,5,0.11,0.41,32.6087,1.2043,,m200219f,210,140,-57.9092,-102.934,-81.8515,0.531758,45.0248,0,
200219,30,SN,200219_SN_5,,,,m200219k,0,-44,-80,7.7837,164.8290,61.71,,m200219k,290/309,18.2638,9,0.18,360,5.83373845405931,-55.7927,-38.5284,39.9017,19.546551,-0.58074951,-58.074951,78.4301,0.68665,0.8,,m200219k,375,61.71,80,1.29638632312429,0.13621,136.21,4,0.03,0.52,77.4593,4.2398,,m200219l,156,80,-58.9111,-101.715,-75.8285,0.39523,42.8039,0,
